Positive Line Index,Negative Line Index,Positive X-Intercept,Negative X-Intercept,Positive Y-Intercept,Negative Y-Intercept,X-Intercept Difference,Score
580,201,215.18829345703125,215.18829345703125,404.7103271484375,-404.7103271484375,0.0,51.0
21,88,173.02635192871094,173.02635192871094,9912.6728515625,-9912.642578125,0.0,80.0
579,766,210.28175354003906,210.28175354003906,431.1415100097656,-431.1415100097656,0.0,43.0
681,349,209.875,209.88192749023438,411.90289306640625,-311.1626892089844,0.0069274902,47.0
571,645,199.27308654785156,199.28115844726562,3802.356689453125,-318.9164733886719,0.008071899,44.0
710,667,226.024658203125,226.034423828125,86.76274108886719,-12949.4638671875,0.009765625,43.0
686,773,211.19400024414062,211.1807861328125,301.6163024902344,-736.4749755859375,0.013214111,42.0
681,478,209.875,209.85595703125,411.90289306640625,-323.14984130859375,0.019042969,45.0
586,667,226.01039123535156,226.034423828125,218.2556915283203,-12949.4638671875,0.024032593,44.0
583,566,209.91871643066406,209.94442749023438,233.13833618164062,-546.9239501953125,0.02571106,45.0
672,634,202.27719116210938,202.2440948486328,3859.678466796875,-169.7029571533203,0.033096313,43.0
686,772,211.19400024414062,211.229736328125,301.6163024902344,-690.9010009765625,0.035736084,42.0
583,349,209.91871643066406,209.88192749023438,233.13833618164062,-311.1626892089844,0.03678894,48.0
488,352,218.16043090820312,218.12277221679688,363.0799560546875,-1552.0233154296875,0.03765869,49.0
357,128,216.6990966796875,216.73797607421875,195.1167449951172,-486.80157470703125,0.038879395,56.0
356,654,211.3048553466797,211.26480102539062,218.81259155273438,-474.50860595703125,0.04005432,47.0
683,351,215.7896270751953,215.8447723388672,345.3356018066406,-442.5473937988281,0.055145264,47.0
436,292,215.54302978515625,215.4866485595703,200.99713134765625,-422.9162292480469,0.056381226,51.0
672,237,202.27719116210938,202.33811950683594,3859.678466796875,-241.13719177246094,0.060928345,49.0
484,634,202.18191528320312,202.2440948486328,875.7460327148438,-169.7029571533203,0.062179565,45.0
495,662,220.6138458251953,220.5513153076172,262.9173583984375,-884.5831909179688,0.06253052,45.0
583,478,209.91871643066406,209.85595703125,233.13833618164062,-323.14984130859375,0.0627594,46.0
669,170,198.03018188476562,197.9668426513672,11345.140625,-253.38601684570312,0.06333923,51.0
72,662,220.6173095703125,220.5513153076172,220.6173095703125,-884.5831909179688,0.06599426,55.0
682,771,208.09043884277344,208.15719604492188,375.40509033203125,-515.2069702148438,0.0667572,42.0
687,482,216.61947631835938,216.5501708984375,287.4637756347656,-937.9816284179688,0.06930542,45.0
681,566,209.875,209.94442749023438,411.90289306640625,-546.9239501953125,0.06942749,44.0
682,632,208.09043884277344,208.16110229492188,375.40509033203125,-168.56549072265625,0.07066345,43.0
686,654,211.19400024414062,211.26480102539062,301.6163024902344,-474.50860595703125,0.07080078,43.0
582,668,220.96022033691406,221.03366088867188,315.56390380859375,-12662.9716796875,0.07344055,44.0
356,772,211.3048553466797,211.229736328125,218.81259155273438,-690.9010009765625,0.07511902,46.0
108,88,172.9474334716797,173.02635192871094,1645.48486328125,-9912.642578125,0.07891846,64.0
674,240,217.18980407714844,217.27207946777344,2066.4228515625,-511.8609313964844,0.08227539,49.0
296,429,216.37466430664062,216.28587341308594,216.37466430664062,-1226.6171875,0.08879089,51.0
584,764,210.56842041015625,210.65802001953125,225.80699157714844,-396.19012451171875,0.08959961,43.0
575,401,176.68423461914062,176.59201049804688,1002.0260620117188,-74.95886993408203,0.09222412,47.0
172,156,171.41757202148438,171.51162719726562,2451.385498046875,-55.72749710083008,0.094055176,59.0
38,762,170.23329162597656,170.32847595214844,3248.244384765625,-283.4742126464844,0.095184326,59.0
431,474,201.70591735839844,201.80503845214844,1037.68701171875,-163.41845703125,0.099121094,48.0
495,568,220.6138458251953,220.5138397216797,262.9173583984375,-822.9685668945312,0.1000061,46.0
72,568,220.6173095703125,220.5138397216797,220.6173095703125,-822.9685668945312,0.10346985,56.0
358,656,217.9681854248047,217.864013671875,189.47686767578125,-539.232177734375,0.10417175,47.0
575,44,176.68423461914062,176.79449462890625,1002.0260620117188,-94.00331115722656,0.11026001,59.0
690,766,210.17056274414062,210.28175354003906,250.47152709960938,-431.1415100097656,0.111190796,42.0
680,766,210.170166015625,210.28175354003906,472.0499267578125,-431.1415100097656,0.111587524,42.0
684,660,213.4330291748047,213.3211212158203,328.65802001953125,-697.7416381835938,0.11190796,43.0
296,202,216.37466430664062,216.2620849609375,216.37466430664062,-463.7754821777344,0.112579346,55.0
498,659,218.81260681152344,218.92747497558594,211.30487060546875,-635.8117065429688,0.114868164,45.0
687,128,216.61947631835938,216.73797607421875,287.4637756347656,-486.80157470703125,0.118499756,52.0
299,668,220.91278076171875,221.03366088867188,185.36782836914062,-12662.9716796875,0.12088013,48.0
686,644,211.19400024414062,211.07293701171875,301.6163024902344,-337.7872619628906,0.12106323,43.0
356,773,211.3048553466797,211.1807861328125,218.81259155273438,-736.4749755859375,0.124069214,46.0
581,777,216.0939178466797,215.96795654296875,389.84375,-1111.0587158203125,0.1259613,43.0
493,660,213.195068359375,213.3211212158203,272.8772277832031,-697.7416381835938,0.12605286,45.0
435,352,218.25567626953125,218.12277221679688,226.0103759765625,-1552.0233154296875,0.13290405,50.0
38,101,170.23329162597656,170.36648559570312,3248.244384765625,-79.4432144165039,0.13319397,70.0
500,668,221.16921997070312,221.03366088867188,160.6888427734375,-12662.9716796875,0.13555908,45.0
688,568,220.3758544921875,220.5138397216797,292.44866943359375,-822.9685668945312,0.13798523,44.0
584,658,210.56842041015625,210.7072296142578,225.80699157714844,-578.9132080078125,0.1388092,44.0
671,240,217.1322784423828,217.27207946777344,6217.8544921875,-511.8609313964844,0.13980103,49.0
571,415,199.27308654785156,199.41395568847656,3802.356689453125,-185.95652770996094,0.14086914,47.0
436,663,215.54302978515625,215.3982391357422,200.99713134765625,-863.9153442382812,0.14479065,46.0
357,482,216.6990966796875,216.5501708984375,195.1167449951172,-937.9816284179688,0.14892578,49.0
580,774,215.18829345703125,215.3374481201172,404.7103271484375,-803.6500244140625,0.14915466,43.0
491,766,210.13157653808594,210.28175354003906,289.2212829589844,-431.1415100097656,0.150177,44.0
685,240,217.1192169189453,217.27207946777344,321.89251708984375,-511.8609313964844,0.15286255,49.0
358,352,217.9681854248047,218.12277221679688,189.47686767578125,-1552.0233154296875,0.15458679,51.0
484,237,202.18191528320312,202.33811950683594,875.7460327148438,-241.13719177246094,0.15620422,51.0
573,474,201.9654998779297,201.80503845214844,1437.05908203125,-163.41845703125,0.16046143,46.0
244,668,220.8731689453125,221.03366088867188,178.85958862304688,-12662.9716796875,0.16049194,49.0
431,475,201.70591735839844,201.53793334960938,1037.68701171875,-194.62286376953125,0.16798401,48.0
581,202,216.0939178466797,216.2620849609375,389.84375,-463.7754821777344,0.16816711,51.0
